,O*NET-SOC Code,Title,Probability of Analytical,Predicted Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
683,49-3022.00,Automotive Glass Installers and Repairers,0.03,0,Replace or repair broken windshields and window glass in motor vehicles.,2.48,2.75,2.38,2.5,2.4,2.77,3.34,2.99
684,49-3023.00,Automotive Service Technicians and Mechanics,0.21,0,"Diagnose, adjust, repair, or overhaul automotive vehicles.",3.2,3.25,3,3.06,3.8,3.61,3.22,3.72
685,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,0.2,0,"Diagnose, adjust, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engines. Includes mechanics working primarily with automobile or marine diesel engines.",3,3.25,3,3,3.34,3.57,3.67,3.99
686,49-3041.00,Farm Equipment Mechanics and Service Technicians,0.3,0,"Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems.",2.94,3.62,3,3,3.29,3.76,3.76,3.97
687,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",0.32,0,"Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and mining.",3.37,3.38,3,3.25,3.38,3.96,3.81,3.85
688,49-3043.00,Rail Car Repairers,0.1,0,"Diagnose, adjust, repair, or overhaul railroad rolling stock, mine cars, or mass transit rail cars.",2.78,3.38,2.75,2.62,2.95,3.2,3.63,3.1
689,49-3051.00,Motorboat Mechanics and Service Technicians,0.11,0,Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.,2.91,3.12,2.25,2.88,3.2,3.37,3.54,3.81
690,49-3052.00,Motorcycle Mechanics,0.29,0,"Diagnose, adjust, repair, or overhaul motorcycles, scooters, mopeds, dirt bikes, or similar motorized vehicles.",3.05,3.12,3.12,3,3.94,4.42,3.42,4.07
691,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,0.09,0,"Diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment, and related equipment.",2.85,3,2.75,2.75,2.73,3.07,3.83,3.85
692,49-3091.00,Bicycle Repairers,0.23,0,Repair and service bicycles.,2.88,3.12,2.5,3,2.43,3.52,4.09,4.59
693,49-3092.00,Recreational Vehicle Service Technicians,0.25,0,"Diagnose, inspect, adjust, repair, or overhaul recreational vehicles including travel trailers. May specialize in maintaining gas, electrical, hydraulic, plumbing, or chassis/towing systems as well as repairing generators, appliances, and interior components. Includes workers who perform customized van conversions.",3.09,3.5,3.12,2.88,3.19,3.48,3.35,3.6
694,49-3093.00,Tire Repairers and Changers,0.02,0,Repair and replace tires.,2.43,2.38,2,2.25,3.28,3.1,3.6,3.43
695,49-9011.00,Mechanical Door Repairers,0.05,0,"Install, service, or repair automatic door mechanisms and hydraulic doors. Includes garage door mechanics.",2.71,3,2.25,2.88,2.73,2.73,3.65,3.5
696,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",0.19,0,"Install, repair, and maintain mechanical regulating and controlling devices, such as electric meters, gas regulators, thermostats, safety and flow valves, and other mechanical governors.",3.07,3.12,3,3,4.23,4.15,3.41,3.65
697,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.4,0,"Install or repair heating, central air conditioning, HVAC, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves.",3.21,3.5,3.06,3.06,3.84,4.29,3.95,4.31
698,49-9031.00,Home Appliance Repairers,0.2,0,"Repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens.",2.86,3.25,2.25,3,3.02,3.38,3,4.01
699,49-9041.00,Industrial Machinery Mechanics,0.31,0,"Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems. May also install, dismantle, or move machinery and heavy equipment according to plans.",3.14,3.5,3.12,3,3,3.65,3.95,4.02
700,49-9043.00,"Maintenance Workers, Machinery",0.09,0,"Lubricate machinery, change parts, or perform other routine machinery maintenance.",2.75,3,2.12,2.88,2.61,3.36,4,3.86
701,49-9044.00,Millwrights,0.29,0,"Install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings.",3.23,3.12,3.12,3,3.65,4.38,3.65,3.91
702,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",0.05,0,"Build or repair equipment such as furnaces, kilns, cupolas, boilers, converters, ladles, soaking pits, and ovens, using refractory materials.",2.65,3,2.12,2.12,2.71,3.16,2.85,2.77
703,49-9051.00,Electrical Power-Line Installers and Repairers,0.17,0,Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.,3.23,3,3,3,2.53,3.08,3.52,3.79
704,49-9052.00,Telecommunications Line Installers and Repairers,0.17,0,"Install and repair telecommunications cable, including fiber optics.",2.79,3.12,2.62,3,2.85,3.4,3.58,4.16
705,49-9061.00,Camera and Photographic Equipment Repairers,0.27,0,"Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment.",3.04,3.38,3.12,3.12,2.39,3.29,3.5,3.73
706,49-9062.00,Medical Equipment Repairers,0.48,0,"Test, adjust, or repair biomedical or electromedical equipment.",3.34,3.62,3.25,3.12,4.25,4.24,3.48,4.2
707,49-9063.00,Musical Instrument Repairers and Tuners,0.28,0,"Repair percussion, stringed, reed, or wind instruments. May specialize in one area, such as piano tuning.",3.03,3.25,3,2.88,3.02,3.9,3.41,3.93
708,49-9064.00,Watch and Clock Repairers,0.13,0,"Repair, clean, and adjust mechanisms of timing instruments, such as watches and clocks. Includes watchmakers, watch technicians, and mechanical timepiece repairers.",2.87,3,2.25,2.88,4.04,3.69,3.28,4.12
709,49-9071.00,"Maintenance and Repair Workers, General",0.21,0,"Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of a building in repair. Duties may involve pipe fitting; HVAC maintenance; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs.",3.04,3.12,3.12,3,3.51,4.29,3.95,3.79
710,49-9081.00,Wind Turbine Service Technicians,0.28,0,"Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions.",3.28,3.12,3.12,3,3.75,3.84,3.13,3.98
711,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.05,0,"Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines.",2.68,2.88,2.12,2.75,2.54,2.55,3.01,3.33
712,49-9092.00,Commercial Divers,0.42,0,"Work below surface of water, using surface-supplied air or scuba equipment to inspect, repair, remove, or install equipment and structures. May use a variety of power and hand tools, such as drills, sledgehammers, torches, and welding equipment. May conduct tests or experiments, rig explosives, or photograph structures or marine life.",3.3,3.75,3.12,3.12,3.33,3.92,4.05,3.96
713,49-9094.00,Locksmiths and Safe Repairers,0.19,0,"Repair and open locks, make keys, change locks and safe combinations, and install and repair safes.",2.86,3.12,2.88,2.88,2.97,3.73,3.86,4.19
714,49-9095.00,Manufactured Building and Mobile Home Installers,0.37,0,Move or install mobile homes or prefabricated buildings.,3.2,3.25,3,3.25,4.4,5.33,4.12,3.87
715,49-9096.00,Riggers,0.08,0,"Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry.",2.82,3,2.25,3,3.65,3.71,3.72,3.45
716,49-9097.00,Signal and Track Switch Repairers,0.26,0,"Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.",2.98,3.38,3,3,2.62,3.22,2.83,3.56
717,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",0.06,0,"Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.",2.48,2.75,2.5,2.12,2.63,3.49,3.17,3.5
718,49-9099.01,Geothermal Technicians,0.35,0,"Perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. Monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. Install, test, and maintain residential and commercial geothermal heat pumps.",3.2,3.12,3,2.88,3.43,4.05,3.31,4.4
719,51-1011.00,First-Line Supervisors of Production and Operating Workers,0.51,1,"Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators. Excludes team or work leaders.",3.53,3.75,3.12,3.62,3.49,3.85,3.81,3.97
720,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.16,0,"Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems.",3.09,3.12,3,2.88,3.8,3.96,3.36,3.26
721,51-2021.00,"Coil Winders, Tapers, and Finishers",0.04,0,"Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment.",2.32,2.88,1.88,1.88,3.13,3.24,3.46,3.56
722,51-2022.00,Electrical and Electronic Equipment Assemblers,0.07,0,"Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.",2.8,3,2.75,2.5,2.89,3.22,3.03,2.72
723,51-2023.00,Electromechanical Equipment Assemblers,0.06,0,"Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.",2.86,2.88,2.12,2.12,3.23,3.06,3.21,3.57
724,51-2031.00,Engine and Other Machine Assemblers,0.06,0,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing.",2.71,3,2.25,2.25,2.72,3.14,3.83,3.75
725,51-2041.00,Structural Metal Fabricators and Fitters,0.02,0,"Fabricate, position, align, and fit parts of structural metal products.",2.41,2.25,1.62,2.25,2.63,2.95,3.43,3.55
726,51-2051.00,Fiberglass Laminators and Fabricators,0.08,0,"Laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products.",2.77,2.88,2.75,2.88,2.98,3.36,3.27,3.36
727,51-2061.00,Timing Device Assemblers and Adjusters,0.06,0,"Perform precision assembling or adjusting, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components.",2.79,2.88,2.25,2.75,2.61,3.12,3.24,3.15
728,51-2092.00,Team Assemblers,0.05,0,"Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them, rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.",2.73,2.88,2.12,2.62,2.83,2.99,3.54,3.59
729,51-3011.00,Bakers,0.08,0,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.",2.82,3,3,2,1.9,2.58,3.18,3.13
730,51-3021.00,Butchers and Meat Cutters,0.06,0,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments.",2.7,3,2.12,2.5,3.05,3.12,2.82,2.97
731,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",0.03,0,"Use hands or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.",2.5,2.88,2.25,2.12,3.39,3.15,3.19,3.12
732,51-3023.00,Slaughterers and Meat Packers,0,0,"Perform nonroutine or precision functions involving the preparation of large portions of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats. Work typically occurs in slaughtering, meat packing, or wholesale establishments.",1.81,1.88,1.5,1.75,1.9,1.95,3.29,3.21
733,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.08,0,"Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.",2.75,3,2.62,2.75,3.07,3.4,3.03,3.04
734,51-3092.00,Food Batchmakers,0.06,0,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.,2.71,2.88,2.12,2.62,3.53,2.96,3.04,3.76
735,51-3093.00,Food Cooking Machine Operators and Tenders,0.02,0,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.",2.59,2.38,2.38,2.38,3.56,2.92,3.05,3.19
736,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.04,0,"Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.",2.63,2.75,2.25,2.62,3.25,3.2,3.03,2.94
737,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.05,0,"Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.",2.75,2.88,2.12,2.75,2.59,2.92,3.75,3.4
738,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.09,0,"Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material.",2.77,3,3,2.75,3.71,3.64,3.68,3.64
739,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.04,0,"Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.",2.68,2.75,2.25,2.62,2.98,3.12,3.57,3.31
740,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.09,0,"Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.",2.73,3.12,2.38,2.75,3.38,3.38,2.98,3.39
741,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.04,0,"Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.",2.73,2.88,2.25,2.75,3.07,2.99,3.33,3.14
742,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.04,0,"Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.",2.55,3,2,2.5,3.56,3.06,3.35,3.32
743,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.05,0,"Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces.",2.75,2.88,2.5,2.5,2.52,2.72,3.07,3.29
744,51-4041.00,Machinists,0.17,0,"Set up and operate a variety of machine tools to produce precision parts and instruments out of metal. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.",3.04,3.12,2.88,3,3.5,3.79,3.86,3.99
745,51-4051.00,Metal-Refining Furnace Operators and Tenders,0.1,0,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel.",2.66,3,2.12,2.88,3.24,3.45,3.15,3.83
746,51-4052.00,"Pourers and Casters, Metal",0.06,0,Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.,2.66,3,2.12,2.12,3.59,3.46,3.03,3.21
747,51-4061.00,"Model Makers, Metal and Plastic",0.12,0,"Set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects. Includes template makers.",2.91,3,2.88,2.75,2.5,2.57,4.36,4.35
748,51-4062.00,"Patternmakers, Metal and Plastic",0.11,0,"Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.",2.91,3,2.25,2.75,3.23,3.87,3.25,3.35
749,51-4071.00,Foundry Mold and Coremakers,0.01,0,Make or form wax or sand cores or molds used in the production of metal castings in foundries.,2.09,2.5,1.75,2,2.66,2.6,3.07,3.32
750,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.04,0,"Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products.",2.73,2.62,2.25,2.25,2.63,2.9,3.3,3.67
751,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.18,0,"Set up, operate, or tend more than one type of cutting or forming machine tool or robot.",2.84,3.12,2.88,3,4.3,4.27,3.57,3.93
752,51-4111.00,Tool and Die Makers,0.24,0,"Analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools.",3.18,3.12,3.12,3,3.17,3.88,3.99,4.07
753,51-4121.00,"Welders, Cutters, Solderers, and Brazers",0.02,0,"Use hand-welding, flame-cutting, hand-soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products.",2.24,2.69,2.19,2.31,2.42,2.78,3.54,3.39
754,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.04,0,"Set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies. Includes workers who operate laser cutters or laser-beam machines.",2.61,3,2,2.5,3.04,3.2,3.07,2.68
755,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.07,0,"Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat treat metal or plastic objects.",2.77,3,2.62,2.62,2.69,2.66,3.22,3.48
756,51-4192.00,"Layout Workers, Metal and Plastic",0.14,0,"Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing. Includes shipfitters.",2.96,3.12,2.62,2.88,3.81,3.95,3.64,3.77
757,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.05,0,"Set up, operate, or tend plating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Typically, the product being coated is immersed in molten metal or an electrolytic solution.",2.79,2.75,2.12,2.25,3.04,3.31,3.45,3.61
758,51-4194.00,"Tool Grinders, Filers, and Sharpeners",0.07,0,"Perform precision smoothing, sharpening, polishing, or grinding of metal objects.",2.71,2.88,2.62,2.75,2.63,2.78,3.52,3.82
759,51-5111.00,Prepress Technicians and Workers,0.17,0,Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.,3.02,3,3,2.88,3.02,4.08,3.82,3.64
760,51-5112.00,Printing Press Operators,0.21,0,"Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses.",2.91,3.12,2.88,2.88,3.83,4.3,2.8,3.17
761,51-5113.00,Print Binding and Finishing Workers,0.07,0,Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.,2.84,3,2.38,2.88,3.12,3.09,3.01,3.2
762,51-6011.00,Laundry and Dry-Cleaning Workers,0.02,0,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles.",2.41,2.5,2.12,2.25,1.92,2.14,2.9,2.9
763,51-6021.00,"Pressers, Textile, Garment, and Related Materials",0.01,0,Press or shape articles by hand or machine.,1.91,2.25,1.5,1.75,2.45,2.81,4.12,3.74
764,51-6031.00,Sewing Machine Operators,0.01,0,"Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products.",2.25,2.12,1.88,2.12,2.07,2.44,3.01,2.58
765,51-6041.00,Shoe and Leather Workers and Repairers,0.01,0,"Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles. May use hand tools.",2.06,2.62,1.75,2,1.52,1.93,3.37,2.63
766,51-6042.00,Shoe Machine Operators and Tenders,0.02,0,"Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts.",2.54,2.38,1.75,2.5,2.77,2.61,3.36,3.19
767,51-6051.00,"Sewers, Hand",0.03,0,"Sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items. Includes weavers and stitchers.",2.56,2.38,2.12,2.38,2.81,3.87,4,3.41
768,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",0.1,0,"Design, make, alter, repair, or fit garments.",2.95,3,2.62,2.62,2.69,3.58,3.56,3.25
769,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,0.04,0,"Operate or tend machines to bleach, shrink, wash, dye, or finish textiles or synthetic or glass fibers.",2.74,2.62,2,2.25,3.36,3.29,2.79,3.03
770,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",0.04,0,"Set up, operate, or tend machines that cut textiles.",2.66,2.75,2,2.62,2.29,2.26,3.36,3.52
771,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.01,0,"Set up, operate, or tend machines that knit, loop, weave, or draw in textiles.",2.29,2.5,1.5,2,2.14,1.84,3.05,3.02
772,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.03,0,"Set up, operate, or tend machines that wind or twist textiles; or draw out and combine sliver, such as wool, hemp, or synthetic fibers. Includes slubber machine and drawing frame operators.",2.54,3,2.12,2,2.76,2.33,3.03,3.02
773,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.08,0,"Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass.",2.8,3,2.62,2.75,3.6,3.18,2.62,2.99
774,51-6092.00,Fabric and Apparel Patternmakers,0.33,0,Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.,3.61,3.38,3,3,3.19,3.71,4.14,4.06
775,51-6093.00,Upholsterers,0.14,0,"Make, repair, or replace upholstery for household furniture or transportation vehicles.",2.98,3.12,2.88,3,3.07,3.79,3.45,3.15
776,51-7011.00,Cabinetmakers and Bench Carpenters,0.11,0,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products.",2.91,3,2.75,2.75,3.66,3.45,2.93,3.42
777,51-7021.00,Furniture Finishers,0.1,0,"Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish.",2.98,3.12,2.75,2.75,3.23,3.37,3.76,3.56
778,51-7031.00,"Model Makers, Wood",0.18,0,Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.,3,3.12,2.62,3,3.93,4.37,3.99,3.9
779,51-7032.00,"Patternmakers, Wood",0.16,0,"Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings.",2.86,3.12,2.5,3,3.23,4.12,3.69,3.68
780,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",0.02,0,"Set up, operate, or tend wood sawing machines. May operate computer numerically controlled (CNC) equipment. Includes lead sawyers.",2.5,2.75,2,2.25,2.09,2.22,3.5,3.21
781,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.03,0,"Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines. May operate computer numerically controlled (CNC) equipment.",2.61,2.88,2.12,2.5,2.61,2.27,3.44,3.48
782,51-8011.00,Nuclear Power Reactor Operators,0.67,1,"Operate or control nuclear reactors. Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs. Implement emergency procedures when needed. May respond to abnormalities, determine cause, and recommend corrective action.",3.59,4,3.12,3.25,4.57,3.99,2.6,4.14
783,51-8012.00,Power Distributors and Dispatchers,0.57,1,"Coordinate, regulate, or distribute electricity or steam.",3.43,3.75,3,3.12,4.08,4.5,3.27,4
784,51-8013.00,Power Plant Operators,0.27,0,"Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators.",3.18,3.62,3,3,3.67,3.44,3.11,3.46
785,51-8013.03,Biomass Plant Technicians,0.15,0,Control and monitor biomass plant activities and perform maintenance as needed.,2.84,3.12,3,3,3.83,3.62,2.82,3.42
786,51-8013.04,Hydroelectric Plant Technicians,0.33,0,"Monitor and control activities associated with hydropower generation. Operate plant equipment, such as turbines, pumps, valves, gates, fans, electric control boards, and battery banks. Monitor equipment operation and performance and make necessary adjustments to ensure optimal performance. Perform equipment maintenance and repair as necessary.",3.36,3.25,3.12,3.12,3.88,4.38,3.74,3.94
787,51-8021.00,Stationary Engineers and Boiler Operators,0.2,0,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment such as steam engines, generators, motors, turbines, and steam boilers.",2.8,3.12,2.62,3,4.07,4.53,3.38,3.71
788,51-8031.00,Water and Wastewater Treatment Plant and System Operators,0.24,0,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater.",3.2,3.25,3.12,3,4.63,4.21,3.11,3.48
789,51-8091.00,Chemical Plant and System Operators,0.28,0,Control or operate entire chemical processes or system of machines.,3.14,3.75,3,3.12,2.94,2.19,2.7,3.7
790,51-8092.00,Gas Plant Operators,0.31,0,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,3.13,3.38,3.12,3.12,2.95,3.35,3.7,4.28
791,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.36,0,"Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines.",3.36,3.75,3.25,3.25,4.25,3.86,3.37,3.41
792,51-8099.01,Biofuels Processing Technicians,0.14,0,"Calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process. Perform, and keep records of, plant maintenance, repairs, and safety inspections.",3.16,3.12,2.75,3,3.86,3.34,3.12,3.65
793,51-9011.00,Chemical Equipment Operators and Tenders,0.17,0,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.",3.16,3.12,2.88,2.88,3.65,3.52,3.23,3.76
794,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.09,0,"Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.",2.8,3,2.88,2.88,3.3,3.01,3,3.42
795,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.07,0,"Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber.",2.82,3,2.88,2.88,3.19,2.75,3.14,3.35
796,51-9022.00,"Grinding and Polishing Workers, Hand",0.06,0,"Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers.",2.64,2.88,2.25,2.5,3.18,3.45,3.05,3.34
797,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",0.06,0,"Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.",2.75,2.88,2.88,2.75,2.94,2.38,3.36,3.79
798,51-9031.00,"Cutters and Trimmers, Hand",0.01,0,"Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.",2.5,2.12,2,2.12,2.48,2.37,2.16,2.35
